program	x_size	y_size	time	mean	sd
biojsmsa	1024	1024	1.2527085167	1.2009020102	0.07326546411147
biojsmsa	1024	1024	1.1490955037	1.2009020102	0.07326546411147
biojsmsa	128	128	1.13560662162	1.08596391112	0.07020539446206128
biojsmsa	128	128	1.03632120062	1.08596391112	0.07020539446206128
biojsmsa	16384	16384	9.584246247680001	9.812521698180001	0.3228302380539281
biojsmsa	16384	16384	10.040797148680001	9.812521698180001	0.3228302380539281
biojsmsa	2048	2048	4.5428320469	3.8448810844	0.9870517170388557
biojsmsa	2048	2048	3.1469301218999997	3.8448810844	0.9870517170388557
biojsmsa	256	256	1.5556974775399999	1.34971490054	0.29130335400596036
biojsmsa	256	256	1.1437323235399999	1.34971490054	0.29130335400596036
biojsmsa	4096	4096	3.0577369720000003	2.679507118	0.5348977892211956
biojsmsa	4096	4096	2.3012772640000003	2.679507118	0.5348977892211956
biojsmsa	512	512	1.8558057947400002	1.4907931737400002	0.5162057990555505
biojsmsa	512	512	1.12578055274	1.4907931737400002	0.5162057990555505
biojsmsa	8192	8192	4.86625899576	4.58429252076	0.39876081307953415
biojsmsa	8192	8192	4.30232604576	4.58429252076	0.39876081307953415
jalview	1024	1024	21.089939941980003	22.328136856980002	1.7510748700815257
jalview	1024	1024	23.566333771980002	22.328136856980002	1.7510748700815257
jalview	128	128	17.187578837079997	16.90804686408	0.3953179073335087
jalview	128	128	16.62851489108	16.90804686408	0.3953179073335087
jalview	2048	2048	30.48248869886	30.11342525936	0.5219345215169617
jalview	2048	2048	29.74436181986	30.11342525936	0.5219345215169617
jalview	256	256	19.51725458712	18.71134880962	1.1397228805353334
jalview	256	256	17.90544303212	18.71134880962	1.1397228805353334
jalview	4096	4096	67.01601602192	66.36382280091999	0.9223404984259896
jalview	4096	4096	65.71162957992	66.36382280091999	0.9223404984259896
jalview	512	512	18.77273683996	17.91362711996	1.2149646175905513
jalview	512	512	17.05451739996	17.91362711996	1.2149646175905513
jalview	8192	8192	30.586353968319997	80.10283417932	70.02687787537518
jbrowsemsa	1024	1024	4.38467390972	2.92739155172	2.060908474890644
jbrowsemsa	1024	1024	1.47010919372	2.92739155172	2.060908474890644
jbrowsemsa	128	128	4.38058773468	2.83443033068	2.1865967703003766
jbrowsemsa	128	128	1.28827292668	2.83443033068	2.1865967703003766
jbrowsemsa	16384	16384	8.53827138054	8.75670910054	0.3089175861578577
jbrowsemsa	16384	16384	8.975146820540001	8.75670910054	0.3089175861578577
jbrowsemsa	2048	2048	4.6142028688400005	3.5372472263400003	1.5230452756977306
jbrowsemsa	2048	2048	2.46029158384	3.5372472263400003	1.5230452756977306
jbrowsemsa	256	256	4.44155093158	3.0465233830800003	1.9728668789727908
jbrowsemsa	256	256	1.65149583458	3.0465233830800003	1.9728668789727908
jbrowsemsa	4096	4096	4.5686052938	3.4661747158000002	1.5590722749824104
jbrowsemsa	4096	4096	2.3637441378	3.4661747158000002	1.5590722749824104
jbrowsemsa	512	512	4.41817487424	2.92126294424	2.116953153084085
jbrowsemsa	512	512	1.42435101424	2.92126294424	2.116953153084085
jbrowsemsa	8192	8192	5.45016419836	5.39806486186	0.0736795882689396
jbrowsemsa	8192	8192	5.3459655253600005	5.39806486186	0.0736795882689396
wasabi	1024	1024	23.22002051838	16.90042210788	8.937261780880553
wasabi	1024	1024	10.580823697380001	16.90042210788	8.937261780880553
wasabi	128	128	4.234137458299999	4.5629212663	0.4649705203622721
wasabi	128	128	4.8917050743	4.5629212663	0.4649705203622721
wasabi	16384	16384	37.25678152004	38.28065176704	1.4479711894176877
wasabi	16384	16384	39.304522014039996	38.28065176704	1.4479711894176877
wasabi	2048	2048	7.013922060800001	11.829471535300002	6.81021537711653
wasabi	2048	2048	16.6450210098	11.829471535300002	6.81021537711653
wasabi	256	256	5.31506922272	5.24199815372	0.1033380967969003
wasabi	256	256	5.16892708472	5.24199815372	0.1033380967969003
wasabi	4096	4096	9.68696536576	9.401008601760001	0.40440393390112217
wasabi	4096	4096	9.115051837760001	9.401008601760001	0.40440393390112217
wasabi	512	512	6.65379355784	8.07527754984	2.0102819401826477
wasabi	512	512	9.49676154184	8.07527754984	2.0102819401826477
wasabi	8192	8192	17.092467106980003	14.96425367498	3.0097482991589932
wasabi	8192	8192	12.83604024298	14.96425367498	3.0097482991589932
