program	x_size	y_size	size	time	mean	sd
biojsmsa	1024	100	102400	2.35161370194	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.43260593694	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.16108082894	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.63432639694	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.1788947959400002	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.23130058694	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.28317899194	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.3938519829400002	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.14841130494	2.3164866772399995	0.150007264730233
biojsmsa	1024	100	102400	2.34960224494	2.3164866772399995	0.150007264730233
biojsmsa	128	100	12800	1.86855433588	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.9419893118800002	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.96977565988	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.63569158588	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.9334793738800002	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.94570064188	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	2.08121487188	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.38374466488	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	1.8952423638800002	1.8823784178800005	0.22335788198191492
biojsmsa	128	100	12800	2.16839136888	1.8823784178800005	0.22335788198191492
biojsmsa	131072	100	13107200	14.2679198439	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	14.8580097149	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	14.153322031899998	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	13.3466386169	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	14.265948823899999	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	13.9576391389	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	14.848655404899999	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	15.3805150479	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	15.5372977149	14.504745664200001	0.6632173282620409
biojsmsa	131072	100	13107200	14.4315103039	14.504745664200001	0.6632173282620409
biojsmsa	16384	100	1638400	3.89507549788	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.4308904568800003	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.51835617588	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.6538184788800003	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.65466708988	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.7058488288800002	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.5549673148800003	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.90852017488	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	4.18603776588	3.7118572099800007	0.22486111849421075
biojsmsa	16384	100	1638400	3.61039031588	3.7118572099800007	0.22486111849421075
biojsmsa	2048	100	204800	2.2169601437	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.0432003527	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	1.4616483807	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.9077173637	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.8112086157	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.0444553577	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.5117040537	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	3.1027902046999998	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.2029802547	2.3719776123	0.48674014099007606
biojsmsa	2048	100	204800	2.4171113957	2.3719776123	0.48674014099007606
biojsmsa	256	100	25600	2.20402528514	1.9885428506400005	0.2958754418451612
biojsmsa	256	100	25600	2.14629282814	1.9885428506400005	0.2958754418451612
biojsmsa	256	100	25600	2.2660599401400003	1.9885428506400005	0.2958754418451612
biojsmsa	256	100	25600	2.15497206814	1.9885428506400005	0.2958754418451612
biojsmsa	256	100	25600	1.66144545314	1.9885428506400005	0.2958754418451612
biojsmsa	256	100	25600	1.71154902614	1.9885428506400005	0.2958754418451612
